 uniqueID,fam_id,fam_id 2,Income-to-needs,sub_id,Sex,Inequality Grp,Income Grp,Final Grp,Household Income,Valence Pre,Arousal Pre,Valence Post,Arousal Post,Age,CT Mean Income,Gini CT,Voice Rating,Formant Position,Formant Dispersion,Fundamental Frequency,N1,N2,N3,N4,N5,N6,Neuroticism,E1,E2,E3,E4,E5,E6,Extroversion,O1,O2,O3,O4,O5,O6,Openness,A1,A2,A3,A4,A5,A6,Agreeableness,C1,C2,C3,C4,C5,C6,Conscientiousness
FAM9481_328802,FAM9481,FAM9481,1.503714174,,0,high,low,LI-HII,50000,4,1,4,1,193,63320,0.432060109,,,,,14,14,14,12,16,12,82,22,17,15,18,15,18,105,16,17,15,16,17,18,99,16,17,21,18,16,18,106,18,19,22,20,18,20,117
FAM1594_338873,FAM1594,FAM1594,1.503714174,338873,1,high,low,LI-HII,50000,4,1,4,1,228,58815,0.434503108,,,,,20,15,19,11,23,16,104,32,31,24,29,27,32,175,21,25,28,19,21,23,137,27,17,27,18,9,26,124,23,24,23,27,24,18,139
FAM1594_416696,FAM1594,FAM1594,1.503714174,416696,1,high,low,LI-HII,50000,-9,-9,-9,-9,174,58815,0.434503108,,,,,22,9,15,19,22,9,96,26,9,10,18,19,29,111,20,15,20,11,27,22,115,18,19,28,16,18,26,125,19,7,25,21,20,18,110
FAM2154_499069,FAM2154,FAM2154,1.503714174,499069,0,high,low,LI-HII,50000,3,1,4,1,150,58815,0.434503108,,,,,20,17,16,19,18,16,106,12,14,19,15,14,18,92,17,15,17,18,10,14,91,13,14,14,16,18,8,83,19,15,16,20,16,15,101
FAM2154_335664,FAM2154,FAM2154,1.503714174,335664,1,high,low,LI-HII,50000,4,2,4,2,208,58815,0.434503108,,-0.486420056,1400.633863,237.4211666,23,22,21,17,11,6,100,17,12,14,20,9,18,90,13,9,17,19,21,21,100,10,19,22,21,13,19,104,28,30,20,23,27,24,152
FAM2214_416870,FAM2214,FAM2214,1.503714174,416870,0,high,low,LI-HII,50000,4,2,4,3,169,58815,0.434503108,0.958333333,0.04996366,1218.55985,171.6486954,14,17,17,14,16,14,92,18,13,16,16,19,16,98,13,13,14,13,12,11,76,15,19,18,15,16,14,97,18,14,18,18,14,18,100
FAM2214_321245,FAM2214,FAM2214,1.503714174,321245,0,high,low,LI-HII,50000,5,2,4,3,189,58815,0.434503108,,-1.577388915,1269.51064,110.7775065,15,18,16,15,18,17,99,26,18,23,21,23,18,129,19,10,16,10,20,14,89,22,20,21,13,12,21,109,24,16,27,18,16,17,118
FAM6135_463865,FAM6135,FAM6135,1.503714174,463865,0,high,low,LI-HII,50000,4,2,3,2,149,58176,0.43903699,,1.040496234,1289.941671,218.676064,9,6,5,8,13,8,49,24,13,19,24,10,27,117,17,12,22,14,25,18,108,24,20,20,20,13,25,122,23,22,25,26,25,20,141
FAM6135_325830,FAM6135,FAM6135,1.503714174,325830,1,high,low,LI-HII,50000,4,2,4,3,188,58176,0.43903699,,-0.1013407,1405.479249,232.8432813,21,16,21,18,18,17,111,24,21,21,10,20,28,124,30,29,28,18,26,22,153,16,13,22,18,14,19,102,22,20,21,15,13,17,108
FAM5303_437506,FAM5303,FAM5303,1.503714174,437506,1,high,low,LI-HII,50000,4,1,4,1,198,49461,0.441056601,,,,,16,10,9,12,14,13,74,27,21,10,16,19,28,121,17,18,18,11,22,16,102,19,26,28,24,21,24,142,24,25,28,20,25,23,145
